Comment,Designator,Footprint,LCSC
100nF,C5,C_Disc_D3.0mm_W2.0mm_P2.50mm,
USB_C_Receptacle_USB2.0,J5,USB_C_Receptacle_XKB_U262-16XN-4BVC11,
10K,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
10K,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
10K,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
5.1K,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
5.1K,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
MCP23S08-E_P,U13,DIP-18_W7.62mm,
DB9_Male_MountingHoles,J8,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,
3.3K,RN1,R_Array_SIP8,
Micro_SD_Card,J7,microSD_HC_Hirose_DM3AT-SF-PEJM5,
AMS1117-3.3,U15,SOT-223-3_TabPin2,
100nF,C14,C_Disc_D3.0mm_W2.0mm_P2.50mm,
10uF,C13,C_Disc_D3.0mm_W2.0mm_P2.50mm,
74LVC125,U14,SOIC-14_3.9x8.7mm_P1.27mm,
CS2,J6,PinSocket_1x01_P2.54mm_Vertical,
IS61C5128AL-10KLI,U8,SOJ-36_10.16x23.49mm_P1.27mm,
100nF,C4,C_Disc_D3.0mm_W2.0mm_P2.50mm,
PWR,J3,PinSocket_1x02_P2.54mm_Vertical,
100nF,C7,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C10,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C12,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C8,C_Disc_D3.0mm_W2.0mm_P2.50mm,
IS61C5128AL-10KLI,U12,SOJ-36_10.16x23.49mm_P1.27mm,
AS6C4008-55PCN,U4,DIP-32_W15.24mm_LongPads,
IS61C5128AL-10KLI,U11,SOJ-36_10.16x23.49mm_P1.27mm,
Conn_01x04_Male,J1,PinHeader_1x04_P2.54mm_Vertical,
IS61C5128AL-10KLI,U10,SOJ-36_10.16x23.49mm_P1.27mm,
100nF,C6,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C11,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C9,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C3,C_Disc_D3.0mm_W2.0mm_P2.50mm,
AS6C4008-55PCN,U3,DIP-32_W15.24mm_LongPads,
MCP2221AxP,U5,DIP-14_W7.62mm,
IS61C5128AL-10KLI,U9,SOJ-36_10.16x23.49mm_P1.27mm,
IS61C5128AL-10KLI,U7,SOJ-36_10.16x23.49mm_P1.27mm,
UART_A,J2,PinHeader_1x06_P2.54mm_Vertical,
IS61C5128AL-10KLI,U6,SOJ-36_10.16x23.49mm_P1.27mm,
100nF,C2,C_Disc_D3.0mm_W2.0mm_P2.50mm,
SPI,J4,PinHeader_1x06_P2.54mm_Vertical,
100nF,C1,C_Disc_D3.0mm_W2.0mm_P2.50mm,
74LS139,U1,DIP-16_W7.62mm_LongPads,
IS61C5128AL-10KLI,U2,SOJ-36_10.16x23.49mm_P1.27mm,
