Comment,Designator,Footprint,LCSC
IS61C5128AL-10KLI,U8,SOJ-36_10.16x23.49mm_P1.27mm,
100nF,C7,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C10,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C12,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C8,C_Disc_D3.0mm_W2.0mm_P2.50mm,
IS61C5128AL-10KLI,U12,SOJ-36_10.16x23.49mm_P1.27mm,
AS6C4008-55PCN,U4,DIP-32_W15.24mm,
IS61C5128AL-10KLI,U11,SOJ-36_10.16x23.49mm_P1.27mm,
Conn_01x04_Male,J1,PinHeader_1x04_P2.54mm_Vertical,
IS61C5128AL-10KLI,U10,SOJ-36_10.16x23.49mm_P1.27mm,
100nF,C11,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C9,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C3,C_Disc_D3.0mm_W2.0mm_P2.50mm,
AS6C4008-55PCN,U3,DIP-32_W15.24mm,
IS61C5128AL-10KLI,U9,SOJ-36_10.16x23.49mm_P1.27mm,
IS61C5128AL-10KLI,U7,SOJ-36_10.16x23.49mm_P1.27mm,
IS61C5128AL-10KLI,U6,SOJ-36_10.16x23.49mm_P1.27mm,
100nF,C2,C_Disc_D3.0mm_W2.0mm_P2.50mm,
100nF,C1,C_Disc_D3.0mm_W2.0mm_P2.50mm,
74LS139,U1,DIP-16_W7.62mm_LongPads,
IS61C5128AL-10KLI,U2,SOJ-36_10.16x23.49mm_P1.27mm,
