Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,98.55,-94.55,-90.0,top
C2,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,85.45,-140.65,180.0,top
C3,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,123.15,-110.35,180.0,top
C7,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,145.35,-97.15,90.0,top
C8,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,170.05,-97.05,90.0,top
C9,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,119.35,-97.9,90.0,top
C10,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,170.65,-128.2,90.0,top
C11,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,147.1,-128.0,90.0,top
C12,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,101.45,-140.65,180.0,top
J1,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,99.171,-109.6834,180.0,top
U1,74LS139,DIP-16_W7.62mm_LongPads,115.525,-114.675,0.0,top
U2,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,88.05,-126.8,180.0,top
U3,AS6C4008-55PCN,DIP-32_W15.24mm,127.8,-101.9,0.0,top
U4,AS6C4008-55PCN,DIP-32_W15.24mm,152.0,-101.9,0.0,top
U6,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,88.05,-98.55,180.0,top
U7,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,104.75,-126.8,180.0,top
U8,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,108.75,-98.55,180.0,top
U9,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,135.4,-126.9,180.0,top
U10,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,135.4,-98.55,180.0,top
U11,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,159.64,-126.9,180.0,top
U12,IS61C5128AL-10KLI,SOJ-36_10.16x23.49mm_P1.27mm,159.64,-98.55,180.0,top
