"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"MD-rosco_m68k_logo";1;"MD-rosco_m68k_logo";;;
2;"OSHW_Mono_0.25_Scale";"OSHW_Mono_0.25_Scale";1;"UK000006";;;
3;"";"";1;"";;;
4;"C11,C10,C9";"C_0603_1608Metric";3;"100nF";;;
5;"IC3,IC2,IC1";"SSOP-48_7.5x15.9mm_P0.635mm";3;"74ALVC164245";;;
6;"BUS4-1,BUS5-1,BUS3-1,BUS2-1,BUS1-1";"pin-2X32";5;"Conn_02x32_Odd_Even";;;
7;"BUS5-2,BUS4-2,BUS3-2,BUS2-2,BUS1-2";"pin-2X8";5;"Conn_02x08_Odd_Even";;;
8;"U1";"TO-220F-3_Horizontal_TabDown";1;"L7805";;;
9;"SW1";"NKK-M2021SS1W01";1;"POWER";;;
10;"R1";"R-0207_10";1;"1K";;;
11;"LED1";"LED_D5.0mm";1;"PWR GOOD";;;
12;"JP3,JP2,JP1";"PinHeader_1x02_P2.54mm_Vertical";3;"Jumper";;;
13;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
14;"J3";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Screw_Terminal_01x02";;;
15;"J2";"BarrelJack_Wuerth_6941xx301002";1;"Jack-DC";;;
16;"J1";"USB_Micro-B_Wuerth_614105150721_Vertical";1;"USB_B_Micro";;;
17;"C8,C6,C5,C4,C3";"C_Rect_L4.0mm_W2.5mm_P2.50mm";5;"100nF";;;
18;"C7";"C_Rect_L4.0mm_W2.5mm_P2.50mm";1;"100nf";;;
19;"C2";"C_Rect_L4.0mm_W2.5mm_P2.50mm";1;"330nf";;;
20;"C1";"C-Electrolytic-3,5-10";1;"470uF";;;
21;"H8,H7,H6,H5,H4,H3,H2,H1";"MountingHole_3.2mm_M3";8;"MountingHole";;;
