"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C5,C3";"C_Rect_L7.0mm_W2.0mm_P5.00mm";2;"7pF";;;
2;"IC7";"DIP-20_W7.62mm_Socket_LongPads";1;"IC7_UART_.PLD";;;
3;"Q1";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
4;"JP1-5";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
5;"R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10K";;;
6;"IC1";"PLCC-44_THT-Socket";1;"XR68C681CJTR-F";;;
7;"REF**";"WEEE-Logo_5.6x8mm_SilkScreen";1;"WEEE-Logo_5.6x8mm_SilkScreen";;;
8;"REF**";"MD-rosco_m68k_logo";1;"MD-rosco_m68k_logo";;;
9;"IC4,IC3,IC2";"DIP-20_W7.62mm_Socket_LongPads";3;"74HCT245";;;
10;"C12,C11,C10,C15,C9,C8,C7,C6,C4,C2,C1";"C2.5-3";11;"100nF";;;
11;"J4";"PinHeader_1x06_P2.54mm_Vertical";1;"UART_B";;;
12;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"UART_A";;;
13;"J2";"PinHeader_2x08_P2.54mm_Vertical";1;"EXTBUS";;;
14;"J1";"PinHeader_2x32_P2.54mm_Vertical";1;"Conn_02x32_Odd_Even";;;
15;"IC6";"DIP-20_W7.62mm_Socket_LongPads";1;"IC6_DECO.PLD";;;
16;"IC5";"DIP-14_W7.62mm_Socket_LongPads";1;"74125";;;
17;"C14,C13";"CP_Radial_D6.3mm_P2.50mm";2;"220uF";;;
