"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H18,H17,H16,H15,H14,H13,H12,H11,H10,H9,H8,H7,H6,H5,H4,H3,H2,H1";"MountingHole_3.2mm_M3";18;"MountingHole";;;
2;",,,";"";4;"";;;
3;"C15,C14,C13,C12,C8,C6,C5,C4,C3";"C_Rect_L4.0mm_W2.5mm_P2.50mm";9;"100nF";;;
4;"BUS8-2,BUS7-2,BUS6-2,BUS5-2,CPU-2,BUS4-2,BUS3-2,BUS2-2,BUS1-2";"pin-2X8";9;"Conn_02x08_Odd_Even";;;
5;"BUS8-1,BUS7-1,BUS6-1,BUS5-1,BUS4-1,CPU-1,BUS3-1,BUS2-1,BUS1-1";"pin-2X32";9;"Conn_02x32_Odd_Even";;;
6;"REF**";"MD-rosco_m68k_logo";1;"MD-rosco_m68k_logo";;;
7;"OSHW_Mono_0.25_Scale";"OSHW_Mono_0.25_Scale";1;"UK000006";;;
8;"C11,C10,C9";"C_0603_1608Metric";3;"100nF";;;
9;"IC3,IC2,IC1";"SSOP-48_7.5x15.9mm_P0.635mm";3;"74ALVC164245";;;
10;"U1";"TO-220F-3_Horizontal_TabDown";1;"L7805";;;
11;"SW1";"NKK-M2021SS1W01";1;"POWER";;;
12;"R1";"R-0207_10";1;"1K";;;
13;"LED1";"LED_D5.0mm";1;"PWR GOOD";;;
14;"JP3,JP2,JP1";"PinHeader_1x02_P2.54mm_Vertical";3;"Jumper";;;
15;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
16;"J3";"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal";1;"Screw_Terminal_01x02";;;
17;"J2";"BarrelJack_Wuerth_6941xx301002";1;"Jack-DC";;;
18;"J1";"USB_Micro-B_Wuerth_614105150721_Vertical";1;"USB_B_Micro";;;
19;"C7";"C_Rect_L4.0mm_W2.5mm_P2.50mm";1;"100nf";;;
20;"C2";"C_Rect_L4.0mm_W2.5mm_P2.50mm";1;"330nf";;;
21;"C1";"C-Electrolytic-3,5-10";1;"470uF";;;
